City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed,Country,Date
Portland,45.5234,-122.6762,60.01,90,100,1.01,US,1619841452
Vila do Maio,15.1333,-23.2167,71.6,78,75,12.66,CV,1619841950
Kupang,-10.1667,123.5833,86.59,59,3,5.12,ID,1619841774
Bathsheba,13.2167,-59.5167,78.8,65,20,13.8,BB,1619841448
Bandarbeyla,9.4942,50.8122,83.19,71,100,2.24,SO,1619841675
Dzhida,50.6772,106.1806,47.59,53,100,3.87,RU,1619841950
Flagstaff,35.1981,-111.6513,57.99,30,1,3.2,US,1619841762
São Félix do Xingu,-6.6447,-51.995,70.32,94,93,2.21,BR,1619841655
Udachny,66.4167,112.4,33.33,94,100,10.04,RU,1619841684
Rønne,55.1009,14.7066,37.4,81,71,4.61,DK,1619841951
Ust-Nera,64.5667,143.2,37.94,97,98,2.24,RU,1619841951
Uray,60.1247,64.7758,41.58,39,27,5.21,RU,1619841952
Muromtsevo,56.3724,75.2418,42.1,52,36,15.97,RU,1619841952
Narsaq,60.9167,-46.05,48.2,29,75,29.93,GL,1619841680
Kouango,4.9934,19.9619,70.47,95,100,3.47,CF,1619841953
Cortez,37.3489,-108.5859,55.99,28,1,8.05,US,1619841953
Mitsamiouli,-11.3847,43.2844,81.36,76,6,5.01,KM,1619841953
Locri,38.2414,16.2623,62.6,88,90,8.05,IT,1619841953
San Luis,-33.295,-66.3356,58.71,50,21,10.36,AR,1619841937
Itarema,-2.9248,-39.9167,75.78,89,20,8.68,BR,1619841698
Meadow Lake,34.8014,-106.5436,64.4,24,1,9.22,US,1619841747
Tual,-5.6667,132.75,83.1,74,27,12.35,ID,1619841666
Warrnambool,-38.3833,142.4833,72.0,53,100,4.0,AU,1619841954
Lhokseumawe,5.1801,97.1507,85.06,67,97,3.47,ID,1619841954
Oistins,13.0667,-59.5333,78.8,65,40,13.8,BB,1619841955
Baykit,61.67,96.37,38.91,94,100,5.39,RU,1619841955
Yumen,40.2833,97.2,77.65,6,100,6.89,CN,1619841427
Kasongo-Lunda,-6.4667,16.8167,70.54,99,100,1.88,CD,1619841773
Okha,53.5739,142.9478,35.08,82,100,10.74,RU,1619841956
Uglegorsk,49.0833,142.0333,40.48,75,100,21.23,RU,1619841956
Grindavik,63.8424,-22.4338,32.0,69,20,20.71,IS,1619841785
Nuuk,64.1835,-51.7216,32.0,100,20,13.8,GL,1619841956
Boende,-0.2167,20.8667,70.27,96,100,1.68,CD,1619841957
Lakatoro,-16.0999,167.4164,82.96,69,34,11.39,VU,1619841957
Half Moon Bay,37.4636,-122.4286,55.4,93,90,12.66,US,1619841957
Camacha,33.0833,-16.3333,60.8,67,40,6.91,PT,1619841958
Wodonga,-36.1167,146.8833,75.0,49,4,2.3,AU,1619841958
Zhezkazgan,47.8043,67.7144,57.09,30,0,4.99,KZ,1619841958
Saint-Pierre,-21.3393,55.4781,75.99,73,0,9.53,RE,1619841716
Strezhevoy,60.7333,77.5889,39.2,65,40,11.18,RU,1619841959
Teknāf,20.8624,92.3058,88.23,58,26,5.75,BD,1619841959
Grand-Santi,4.25,-54.3833,72.23,99,100,1.9,GF,1619841959
Flinders,-34.5833,150.8552,73.99,72,15,3.0,AU,1619841960
Kokuy,52.2037,117.5529,55.24,34,1,6.46,RU,1619841960
Governador Valadares,-18.8511,-41.9494,65.88,85,93,2.33,BR,1619841960
Sechura,-5.5569,-80.8222,71.28,72,46,12.84,PE,1619841686
Severnyy,50.677,36.5532,55.4,82,40,8.95,RU,1619841961
Leshukonskoye,64.8989,45.7622,35.22,86,100,0.76,RU,1619841961
Komatipoort,-25.4332,31.9548,64.99,76,94,1.99,ZA,1619841961
Springville,40.1652,-111.6107,68.0,59,1,6.91,US,1619841962
Sinjār,36.3209,41.8754,65.59,52,10,13.24,IQ,1619841851
Palu,-0.8917,119.8707,88.38,61,86,2.98,ID,1619841962
Impfondo,1.6381,18.0667,70.99,97,100,3.06,CG,1619841620
Puerto del Rosario,28.5004,-13.8627,62.6,59,0,9.22,ES,1619841962
Blairmore,49.6,-114.4353,55.4,47,5,9.22,CA,1619841963
Kawalu,-7.3817,108.2082,88.2,54,90,3.74,ID,1619841963
Honningsvåg,70.9821,25.9704,35.6,69,40,25.32,NO,1619841963
Tawang Town,27.5833,91.8667,60.37,42,53,6.44,IN,1619841964
Deputatsky,69.3,139.9,26.6,87,100,4.09,RU,1619841734
Forio,40.7342,13.8646,68.0,78,100,7.0,IT,1619841964
Tibagi,-24.5094,-50.4136,52.43,96,23,3.38,BR,1619841964
Suntar,62.1444,117.6319,37.54,95,100,6.29,RU,1619841965
Panguna,-6.3164,155.4848,76.59,83,57,1.59,PG,1619841965
Goba,7.0167,39.9833,50.97,87,45,2.68,ET,1619841965
Yantzaza,-3.8278,-78.7594,64.71,98,89,1.03,EC,1619841966
Margate,51.3813,1.3862,39.99,81,9,5.82,GB,1619841866
Baltiysk,54.6538,19.911,43.0,81,0,6.71,RU,1619841966
Buraidah,26.326,43.975,68.0,40,0,2.3,SA,1619841966
Singkang,2.1006,102.7994,84.2,79,20,5.75,MY,1619841967
Ouésso,1.6136,16.0517,70.45,90,100,0.29,CG,1619841967
Basco,20.4487,121.9702,80.02,73,1,5.55,PH,1619841967
Port Hardy,50.6996,-127.4199,50.0,93,90,5.75,CA,1619841715
Albacete,38.8333,-2.0,48.2,81,0,8.05,ES,1619841968
Mahon,39.8885,4.2658,60.8,94,75,8.05,ES,1619841968
Warsaw,52.2298,21.0118,46.0,93,20,3.44,PL,1619841200
Jacareacanga,-6.2222,-57.7528,72.95,97,100,1.25,BR,1619841968
Ulladulla,-35.35,150.4667,73.4,53,75,8.05,AU,1619841969
Desdunes,19.2955,-72.646,77.09,73,16,4.81,HT,1619841969
Tamboril,19.4854,-70.611,75.2,88,20,6.91,DO,1619841969
Lüderitz,-26.6481,15.1594,65.25,38,0,12.1,NA,1619841599
Aquiraz,-3.9014,-38.3911,77.0,94,20,2.3,BR,1619841970
Chifeng,42.2683,118.9636,48.02,26,66,16.51,CN,1619841970
Lincoln,40.8,-96.667,71.6,30,1,13.8,US,1619841814
Ust-Tsilma,65.441,52.1498,37.04,74,100,9.78,RU,1619841970
Lufilufi,-13.8745,-171.5986,93.2,66,40,12.66,WS,1619841971
Quatre Cocos,-20.2078,57.7625,79.0,78,40,10.36,MU,1619841691
Broken Hill,-31.95,141.4333,77.0,31,100,17.27,AU,1619841971
Adolfo López Mateos,28.4667,-107.3,47.01,67,97,4.32,MX,1619841971
Viedma,-40.8135,-62.9967,65.55,49,100,15.32,AR,1619841788
Nara,34.6851,135.8049,77.0,50,75,17.27,JP,1619841698
Tahe,52.3333,124.7333,50.14,39,71,4.81,CN,1619841972
Iquitos,-3.7481,-73.2472,75.2,94,40,3.44,PE,1619841902
Chokurdakh,70.6333,147.9167,22.69,82,9,5.3,RU,1619841615
Jamiltepec,16.2833,-97.8167,73.69,81,26,2.1,MX,1619841972
Baláo,-2.9167,-79.8167,73.76,92,100,2.46,EC,1619841973
Gagino,55.2314,45.0339,52.43,84,100,21.39,RU,1619841973
Sânmartin,46.2667,25.9333,54.0,56,100,0.92,RO,1619841973
Shache,38.4167,77.2406,81.73,12,5,16.8,CN,1619841974
Zhalantun,48.0,122.7167,53.74,44,62,10.13,CN,1619841974
Kuytun,54.3419,101.5036,48.92,53,100,2.13,RU,1619841974
Narasannapeta,18.4167,84.05,90.3,51,0,10.42,IN,1619841975
Sayula,19.8667,-103.6167,64.71,72,99,2.71,MX,1619841975
Sokolo,14.7328,-6.1219,85.66,41,44,15.17,ML,1619841975
Vila Franca do Campo,37.7167,-25.4333,51.8,76,20,2.3,PT,1619841975
Quelimane,-17.8786,36.8883,77.0,88,75,1.21,MZ,1619841976
Nioro,13.35,-15.75,76.73,39,55,8.77,GM,1619841976
Lishu,43.3047,124.3278,59.43,19,94,11.01,CN,1619841977
Angoche,-16.2325,39.9086,74.97,90,3,3.71,MZ,1619841977
Batagay,67.6333,134.6333,33.64,87,98,1.28,RU,1619841977
Gao,16.6362,1.637,83.55,15,0,11.18,ML,1619841862
Havelock,34.8791,-76.9013,69.01,54,59,1.01,US,1619841978
Petawawa,45.9001,-77.3328,33.8,64,90,19.57,CA,1619841795
Tomatlán,19.9333,-105.25,70.32,84,44,1.05,MX,1619841978
Arrondissement de Toul,48.6667,5.9167,48.2,93,100,2.3,FR,1619841978
Pajapan,18.25,-94.7,79.56,75,69,4.16,MX,1619841979
Saint Augustine,29.8947,-81.3145,75.99,83,1,8.05,US,1619841979
Äänekoski,62.6946,25.818,34.0,80,0,2.3,FI,1619841979
Hambantota,6.1241,81.1185,84.2,89,20,3.44,LK,1619841980
Doaba,33.4244,70.7364,82.0,30,29,4.9,PK,1619841980
Somerset,40.5668,-74.5496,48.0,49,75,12.66,US,1619841806
Sabha,27.0377,14.4283,77.07,8,0,8.93,LY,1619841962
Weligama,5.9667,80.4167,85.28,70,18,1.97,LK,1619841980
Belle Fourche,44.6714,-103.8522,66.0,41,1,5.75,US,1619841981
Barcelos,41.5388,-8.6151,46.99,81,0,5.75,PT,1619841966
Guiyang,26.5833,106.7167,77.0,50,0,6.71,CN,1619841981
Shawville,45.6001,-76.4827,36.0,83,96,8.01,CA,1619841981
Likasi,-10.9814,26.7333,61.81,98,99,3.71,CD,1619841982
Trairi,-3.2778,-39.2689,76.21,89,90,6.93,BR,1619841982
Petrolia,42.8668,-82.1498,41.0,81,1,5.75,CA,1619841855
Pavlovskiy,57.8424,54.8436,51.39,57,99,21.27,RU,1619841982
Inhambane,-23.865,35.3833,70.05,93,93,8.3,MZ,1619841983
Bilibino,68.0546,166.4372,20.8,70,83,2.62,RU,1619841983
Clyde River,70.4692,-68.5914,17.6,93,90,4.61,CA,1619841685
City of San Pedro,14.35,121.0167,93.2,52,20,5.75,PH,1619841984
Altos del Rosario,8.7944,-74.1658,73.36,96,100,2.53,CO,1619841984
Dillon,34.4166,-79.3712,66.0,55,1,5.75,US,1619841668
Bilma,18.6853,12.9164,79.43,7,0,8.88,NE,1619841625
Shāhgarh,24.3167,79.1333,100.51,11,45,6.67,IN,1619841984
Warri,5.5167,5.75,77.63,90,98,3.15,NG,1619841985
Nova Era,-19.75,-43.0375,66.2,94,0,3.44,BR,1619841985
Tupik,54.4253,119.9327,46.11,65,74,5.84,RU,1619841985
Casper,42.8666,-106.3131,66.99,38,1,8.05,US,1619841717
Macapá,0.0389,-51.0664,78.8,94,0,1.14,BR,1619841986
Thal,35.4791,72.2439,62.58,40,2,2.51,PK,1619841962
Chhātak,25.0333,91.6667,92.75,45,2,4.41,BD,1619841986
Santa Cruz de la Sierra,-17.8,-63.1667,60.8,88,14,3.44,BO,1619841961
Pinega,64.7001,43.3936,35.62,79,100,1.54,RU,1619841987
Zverinogolovskoye,54.4586,64.8542,48.38,42,63,7.78,RU,1619841987
Micheweni,-4.9667,39.8333,78.15,86,96,8.9,TZ,1619841987
Xining,36.6167,101.7667,66.99,32,92,3.51,CN,1619841745
Mount Gambier,-37.8333,140.7667,69.8,49,40,12.66,AU,1619841633
Fare,-16.7,-151.0167,81.5,69,89,10.76,PF,1619841988
Eureka,40.8021,-124.1637,53.01,92,100,3.4,US,1619841988
Kwinana,-32.25,115.7667,71.01,40,1,5.75,AU,1619841988
Laguna de Perlas,12.3429,-83.6712,79.05,71,10,8.77,NI,1619841989
Saldanha,-33.0117,17.9442,48.2,81,0,2.3,ZA,1619841718
Flin Flon,54.7682,-101.865,33.35,94,43,4.97,CA,1619841989
Aykhal,66.0,111.5,31.24,93,100,13.09,RU,1619841779
Puerto Ayacucho,5.6639,-67.6236,73.24,91,92,1.3,VE,1619841989
Znamenskoye,57.1281,73.8282,38.75,63,49,13.62,RU,1619841990
Rørvik,64.8621,11.2373,38.3,56,91,12.48,NO,1619841990
Levelland,33.5873,-102.378,57.2,72,90,5.75,US,1619841990
Elbistan,38.2059,37.1983,55.83,62,0,4.94,TR,1619841991
Chany,55.3121,76.7647,43.74,48,100,20.54,RU,1619841991
St. George's,12.0564,-61.7485,78.8,83,75,9.22,GD,1619841773
Zahnitkiv,48.0446,28.8958,51.01,93,94,3.85,UA,1619841991
Toccoa,34.5773,-83.3324,66.2,39,1,4.32,US,1619841992
Agadez,19.75,10.25,76.01,8,0,2.59,NE,1619841689
Beloha,-25.1667,45.05,70.0,80,1,2.66,MG,1619841992
Altay,47.8667,88.1167,59.9,64,100,12.53,CN,1619841545
Puerto Cabezas,14.0351,-83.3888,78.08,78,10,8.08,NI,1619841992
Tsimmerbude,54.675,20.1347,43.0,81,0,6.71,RU,1619841993
Muros,42.7762,-9.0603,39.99,92,9,6.89,ES,1619841674
Porosozero,62.7191,32.727,29.77,66,23,9.04,RU,1619841993
Tulagi,-9.0996,160.1476,82.9,66,68,2.62,SB,1619841994
Springfield,37.2153,-93.2982,61.0,63,1,5.82,US,1619841492
Thurso,58.5927,-3.5259,32.0,93,20,4.61,GB,1619841994
Pathein,16.7833,94.7333,93.16,44,26,4.34,MM,1619841994
Okhotsk,59.3833,143.3,36.05,78,100,3.09,RU,1619841995
General Roca,-39.0333,-67.5833,53.6,71,0,6.91,AR,1619841995
Santander,43.4647,-3.8044,48.99,87,90,4.61,ES,1619841995
Milcoiu,45.05,24.4667,53.06,84,94,3.8,RO,1619841996
Srednekolymsk,67.45,153.6833,29.62,77,8,12.01,RU,1619841996
Lata,40.1629,-8.3327,48.0,86,42,2.39,PT,1619841996
Águia Branca,-18.9831,-40.7403,63.32,91,44,3.11,BR,1619841997
Mahébourg,-20.4081,57.7,77.0,78,40,10.36,MU,1619841682
Mosquera,4.7059,-74.2302,53.6,94,75,2.3,CO,1619841997
Da Lat,11.9465,108.4419,79.68,47,60,3.87,VN,1619841997
Yangi Marg`ilon,40.4272,71.7189,69.8,46,58,9.22,UZ,1619841701
Mandera,3.9366,41.867,81.43,66,77,8.68,KE,1619841954
Newry,54.1784,-6.3374,36.0,83,10,1.01,GB,1619841998
Sitka,57.0531,-135.33,44.6,93,90,4.61,US,1619841676
São João da Barra,-21.6403,-41.0511,66.96,78,100,8.55,BR,1619841998
Labuhan,-6.8844,112.2051,86.27,65,46,7.25,ID,1619841694
Iquique,-20.2208,-70.1431,62.6,67,0,1.86,CL,1619841746
Sur,22.5667,59.5289,86.25,49,61,3.83,OM,1619841705
Tomé,-36.6167,-72.95,55.4,100,90,14.97,CL,1619841999
Plaridel,14.8872,120.8572,93.2,52,20,5.75,PH,1619841999
Coahuayana Viejo,18.7333,-103.6833,72.45,91,77,1.39,MX,1619841678
