City,Latitude,Longitude,Temperature (max),Humidity,Cloudiness,Wind Speed
Herat Province,34.5,62.0,290.15,59,0,2.57
Katangli,51.7102,143.2326,275.21,86,100,7.71
Ferme-Neuve,46.7001,-75.4493,277.15,60,100,9.26
Rocha,-34.4833,-54.3333,285.55,74,100,2.81
Okhotsk,59.3833,143.3,274.64,78,100,1.06
Marfino,55.7028,37.3822,282.59,81,75,8.0
Jiupu,41.0667,122.95,288.33,32,61,3.65
Kerema,-7.9631,145.7785,301.13,70,13,2.6
Sehithwa,-20.4667,22.7167,290.61,49,55,3.13
Tuy Hoa,13.0833,109.3,302.69,67,21,2.18
Shimoda,34.6667,138.95,294.15,52,20,6.17
Shambu,9.5667,37.1,285.41,82,96,0.94
Ivanava,52.1451,25.5365,277.11,92,92,3.21
Dhār,22.6,75.3,299.15,44,93,4.12
Fairview,40.8126,-73.999,285.37,35,90,5.66
Kongoussi,13.3258,-1.5347,305.82,22,61,2.33
Payo,-3.7508,103.6372,300.82,75,83,0.71
Rio Grande,-32.035,-52.0986,290.37,92,0,6.25
Jasper,37.2001,-94.3502,295.15,46,1,2.57
Solnechnyy,50.7214,136.6319,277.12,64,100,4.07
Kismayo,-0.3582,42.5454,300.26,79,11,4.32
Pochutla,15.7432,-96.4661,300.93,78,90,2.96
La Gomera,14.0833,-91.05,301.15,78,75,2.06
Rapid City,44.0805,-103.231,300.15,26,1,1.54
Chunhuhub,19.55,-88.6833,299.57,69,0,3.17
Amuntai,-2.4177,115.2494,302.43,69,100,1.24
Aras,42.5617,-2.356,281.48,87,40,3.09
Kuminskiy,58.6667,66.5667,275.79,52,0,3.95
Hlotse,-28.8718,28.045,281.49,81,54,1.4
Marawi,7.9986,124.2928,302.59,74,95,2.68
Belmonte,-15.8631,-38.8828,296.15,83,75,3.09
Diré,12.2833,-10.9667,304.68,38,100,0.75
Terney,45.0503,136.6092,282.57,63,1,4.41
Roald,62.5833,6.1333,276.15,81,90,4.12
Ranfurly,-45.1333,170.1,285.93,62,49,1.69
Portland,45.5234,-122.6762,290.93,81,100,1.58
Ekhabi,53.5102,142.9671,274.91,81,100,4.42
Thinadhoo,0.5333,72.9333,301.45,68,69,1.16
Kasongo-Lunda,-6.4667,16.8167,294.46,99,100,0.94
St. George's,12.0564,-61.7485,299.15,83,40,5.14
Meulaboh,4.1363,96.1285,299.92,80,97,1.46
Conceição do Araguaia,-8.2578,-49.2647,299.15,83,20,1.54
Luleå,65.5842,22.1547,269.15,68,47,3.09
Vieux-Habitants,16.0589,-61.7659,297.15,83,0,1.54
Kupang,-10.1667,123.5833,302.71,61,1,3.32
San Francisco,37.7749,-122.4194,288.15,72,90,8.75
Sangar,63.9242,127.4739,276.99,79,99,2.9
Ghanzi,-21.5667,21.7833,286.85,40,0,4.36
Bereket,39.2446,55.5154,293.98,40,4,7.05
Salaga,8.5508,-0.5188,301.02,64,74,3.66
Licheng,23.2955,113.8284,300.15,69,20,1.0
Āreka,7.0667,37.7,289.28,91,100,0.94
Rincon,32.296,-81.2354,297.15,40,40,2.57
Mil'kovo,54.7167,158.6167,280.52,72,100,0.96
Ulaanbaatar,47.9077,106.8832,280.15,29,40,10.0
Batemans Bay,-35.7167,150.1833,293.71,59,0,2.92
Sundumbili,-29.1337,31.3975,289.15,82,75,5.14
Mehamn,71.0357,27.8492,274.15,80,40,10.29
Rādhākund,27.5333,77.4833,304.96,20,79,1.62
Kashgar,39.4547,75.9797,294.15,19,20,7.0
San Joaquin,37.9333,-121.3011,301.15,24,1,5.14
Aykhal,66.0,111.5,272.5,95,100,6.41
Beringovskiy,63.05,179.3167,268.86,75,91,6.11
Pomabamba,-8.8333,-77.4667,282.57,89,44,0.37
Sharan,54.8167,54.0,281.22,61,76,6.54
Paraíso,9.8383,-83.8656,293.15,100,90,1.03
Acapulco de Juárez,16.8634,-99.8901,300.15,78,20,3.09
La Rioja,42.25,-2.5,281.48,87,40,3.09
Ban Nahin,18.2418,104.2122,300.56,68,100,0.47
Cocachacra,-17.0883,-71.7575,292.07,84,46,1.99
Igra,57.5558,53.0547,281.97,61,100,7.74
Lusambo,-4.9667,23.45,293.74,97,100,0.74
Carutapera,-1.195,-46.02,297.43,91,73,2.26
Washougal,45.5826,-122.3534,292.15,68,90,0.86
Yenagoa,4.9247,6.2642,298.27,93,97,1.54
Berlevåg,70.8578,29.0864,274.19,66,100,11.98
Soyo,-6.1349,12.3689,298.59,85,100,2.08
Arman',59.7,150.1667,276.0,73,100,1.54
Sukumo,32.9333,132.7333,294.39,80,77,7.51
La Ronge,55.1001,-105.2842,293.15,24,37,5.14
Grindavik,63.8424,-22.4338,273.15,74,20,9.26
Nova Esperanca,4.438,-61.1151,293.76,93,72,1.0
Paramonga,-10.6667,-77.8333,292.6,88,18,3.06
Sistranda,63.7256,8.834,274.15,93,40,1.03
Zharkent,44.1628,80.0,291.24,59,100,10.27
Kahului,20.8947,-156.47,300.15,69,40,9.77
Ust-Maya,60.4167,134.5333,280.21,65,100,4.13
Jieshou,33.2634,115.3611,292.68,33,0,1.96
Dalvik,65.9702,-18.5286,273.15,100,90,4.12
Tarnów,50.0138,20.987,281.48,74,92,2.47
Sigli,5.3848,95.9609,301.0,77,100,0.7
Kinablangan,7.6947,126.5503,301.81,72,28,2.58
Viedma,-40.8135,-62.9967,293.05,47,100,7.23
Buncrana,55.1333,-7.45,274.1,85,3,0.9
Jambi City,-1.6,103.6167,301.03,76,84,0.78
Kampot,10.6167,104.1833,303.15,79,40,0.51
Katobu,-4.9408,122.5276,303.59,52,53,2.01
Antofagasta,-23.65,-70.4,288.15,82,0,3.09
Union,40.6334,-74.2663,284.82,40,90,11.32
High Level,58.5169,-117.136,286.15,35,75,2.57
